0,1
Martin Dúbravka,https://www.premierleague.com/players/6451/Martin-D%C3%BAbravka/stats?co=1&se=-1
Shane Duffy,https://www.premierleague.com/players/3601/Shane-Duffy/stats?co=1&se=-1
Paul Dummett,https://www.premierleague.com/players/4340/Paul-Dummett/stats?co=1&se=-1
Lewis Dunk,https://www.premierleague.com/players/8163/Lewis-Dunk/stats?co=1&se=-1
Jimmy Dunne,https://www.premierleague.com/players/14829/Jimmy-Dunne/stats?co=1&se=-1
Frankie Ealing,https://www.premierleague.com/players/74787/Frankie-Ealing/stats?co=1&se=-1
Ederson,https://www.premierleague.com/players/12707/Ederson/stats?co=1&se=-1
Odsonne Édouard,https://www.premierleague.com/players/16788/Odsonne-%C3%89douard/stats?co=1&se=-1
Samuel Edozie,https://www.premierleague.com/players/66658/Samuel-Edozie/stats?co=1&se=-1
Edward Rowe,https://www.premierleague.com/players/70755/Edward-Rowe/stats?co=1&se=-1
Pierre Ekwah,https://www.premierleague.com/players/51224/Pierre-Ekwah/stats?co=1&se=-1
Anwar El Ghazi,https://www.premierleague.com/players/11033/Anwar-El-Ghazi/stats?co=1&se=-1
Anthony Elanga,https://www.premierleague.com/players/49259/Anthony-Elanga/stats?co=1&se=-1
